work_id;m.aterial_id;consumption_per_work_unit;waste_coeff
w.131;m.517;1;1.0
w.131;m.681;1;1.0
w.132;m.548;1;1.0
w.135;m.820;1;1.0
w.135;m.815;1;1.0
w.135;m.434;1;1.0
w.135;m.763;1;1.0
w.135;m.809;1;1.0
w.135;m.353;1;1.0
w.135;m.475;1;1.0
w.135;m.375;1;1.0
w.136;m.548;1;1.0
w.136;m.552;1;1.0
w.136;m.458;1;1.0
w.137;m.548;1;1.0
w.137;m.475;1;1.0
w.138;m.548;1;1.0
w.138;m.552;1;1.0
w.138;m.458;1;1.0
w.139;m.548;1;1.0
w.139;m.552;1;1.0
w.139;m.458;1;1.0
w.140;m.700;1;1.0
w.140;m.368;1;1.0
w.140;m.1025;1;1.0
w.140;m.440;1;1.0
w.140;m.756;1;1.0
w.140;m.656;1;1.0
w.140;m.392;1;1.0
w.140;m.1036;1;1.0
w.140;m.1011;1;1.0
w.141;m.616;1;1.0
w.141;m.741;1;1.0
w.142;m.569;1;1.0
w.142;m.695;1;1.0
w.143;m.569;1;1.0
w.143;m.695;1;1.0
w.143;m.375;1;1.0
w.144;m.569;1;1.0
w.144;m.695;1;1.0
w.145;m.691;1;1.0
w.145;m.374;1;1.0
w.147;m.651;1;1.0
w.147;m.713;1;1.0
w.148;m.569;1;1.0
w.148;m.695;1;1.0
w.149;m.653;1;1.0
w.149;m.375;1;1.0
w.149;m.353;1;1.0
w.149;m.643;1;1.0
w.149;m.406;1;1.0
w.149;m.888;1;1.0
w.149;m.928;1;1.0
w.149;m.890;1;1.0
w.150;m.569;1;1.0
w.151;m.569;1;1.0
w.151;m.398;1;1.0
w.152;m.351;1;1.0
w.152;m.402;1;1.0
w.153;m.375;1;1.0
w.154;m.1016;1;1.0
w.154;m.527;1;1.0
w.154;m.392;1;1.0
w.154;m.545;1;1.0
w.154;m.386;1;1.0
w.154;m.389;1;1.0
w.154;m.641;1;1.0
w.155;m.673;1;1.0
w.155;m.544;1;1.0
w.155;m.386;1;1.0
w.155;m.1032;1;1.0
w.155;m.641;1;1.0
w.155;m.389;1;1.0
w.155;m.1036;1;1.0
w.155;m.392;1;1.0
w.155;m.700;1;1.0
w.156;m.699;1;1.0
w.156;m.637;1;1.0
w.156;m.527;1;1.0
w.156;m.386;1;1.0
w.156;m.392;1;1.0
w.157;m.732;1;1.0
w.157;m.537;1;1.0
w.157;m.768;1;1.0
w.157;m.880;1;1.0
w.157;m.475;1;1.0
w.157;m.861;1;1.0
w.157;m.698;1;1.0
w.157;m.711;1;1.0
w.157;m.744;1;1.0
w.157;m.1025;1;1.0
w.157;m.524;1;1.0
w.157;m.593;1;1.0
w.157;m.685;1;1.0
w.157;m.375;1;1.0
w.157;m.359;1;1.0
w.158;m.796;1;1.0
w.158;m.629;1;1.0
w.158;m.471;1;1.0
w.158;m.846;1;1.0
w.158;m.375;1;1.0
w.158;m.745;1;1.0
w.159;m.522;1;1.0
w.159;m.537;1;1.0
w.159;m.448;1;1.0
w.159;m.744;1;1.0
w.159;m.593;1;1.0
w.159;m.520;1;1.0
w.159;m.816;1;1.0
w.159;m.1007;1;1.0
w.160;m.522;1;1.0
w.160;m.537;1;1.0
w.160;m.448;1;1.0
w.160;m.744;1;1.0
w.160;m.593;1;1.0
w.160;m.520;1;1.0
w.160;m.816;1;1.0
w.160;m.1007;1;1.0
w.161;m.966;1;1.0
w.161;m.635;1;1.0
w.162;m.436;1;1.0
w.162;m.386;1;1.0
w.162;m.527;1;1.0
w.162;m.392;1;1.0
w.163;m.439;1;1.0
w.163;m.386;1;1.0
w.163;m.390;1;1.0
w.164;m.797;1;1.0
w.164;m.386;1;1.0
w.164;m.392;1;1.0
w.165;m.438;1;1.0
w.165;m.436;1;1.0
w.165;m.386;1;1.0
w.165;m.527;1;1.0
w.165;m.392;1;1.0
w.165;m.495;1;1.0
w.165;m.1039;1;1.0
w.165;m.664;1;1.0
w.165;m.1011;1;1.0
w.166;m.872;1;1.0
w.166;m.1028;1;1.0
w.167;m.797;1;1.0
w.167;m.1039;1;1.0
w.167;m.629;1;1.0
w.167;m.471;1;1.0
w.167;m.846;1;1.0
w.167;m.375;1;1.0
w.167;m.777;1;1.0
w.167;m.1033;1;1.0
w.168;m.797;1;1.0
w.168;m.1039;1;1.0
w.168;m.629;1;1.0
w.168;m.471;1;1.0
w.168;m.846;1;1.0
w.168;m.375;1;1.0
w.168;m.777;1;1.0
w.168;m.1033;1;1.0
w.169;m.1039;1;1.0
w.169;m.629;1;1.0
w.169;m.471;1;1.0
w.169;m.846;1;1.0
w.169;m.375;1;1.0
w.169;m.777;1;1.0
w.169;m.1033;1;1.0
w.170;m.797;1;1.0
w.170;m.1039;1;1.0
w.170;m.629;1;1.0
w.170;m.471;1;1.0
w.170;m.846;1;1.0
w.170;m.375;1;1.0
w.170;m.777;1;1.0
w.170;m.1033;1;1.0
w.171;m.797;1;1.0
