material_id;material_name;image_url;item_url;unit;unit_price;expenditure;weight
m.56;*12662821001(266282-001) REHAU RAUTITAN Трубка Т-образная Для подключения к отопительному прибору 16/250;https://lk.teremopt.ru/upload/resize_cache/iblock/71c/1000_750_1/RQLAGK0L3H3P6I.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12448;шт.;3 369,65;;
m.57;*12663021001(266302-001) REHAU RAUTITAN Трубка Т-образная Для подключения к отопительному прибору 20/250;https://lk.teremopt.ru/upload/resize_cache/iblock/a99/1000_750_1/RQLAGK0L3H3P6L.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12451;шт.;3 458,95;;
m.58;*12663521003 REHAU RAUTITAN Резьбозажимное соединение flex/pink 16х2,2xG3/4;https://lk.teremopt.ru/upload/iblock/f95/rg008q13oh5gsh.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12586;шт.;849,30;;
m.59;*12663621003(12663621001)REHAU RAUTITAN Резьбозажимное соединение flex/pink 20х2,8xG3/4 для труб из сшитого полиэтилена;https://lk.teremopt.ru/upload/resize_cache/iblock/61c/1000_750_1/RQLAGK0L3H3P71.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12460;шт.;856,90;;
m.60;*12686741001 REHAU RAUTITAN Декоративная накладка для 2 мет. трубок Дн 15мм;https://lk.teremopt.ru/upload/resize_cache/iblock/294/1000_750_1/RQLAGK0L3H3P7F.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12470;шт.;330,60;;
m.61;*13280131003(13280131002)(13280131001) REHAU NEA SMART 2.0 Терморегулятор HRB;https://lk.teremopt.ru/upload/resize_cache/iblock/cb9/xjunrg5y3ovqlei2vc3nju1by70n0uj1/1000_750_1/RG00901696NOIR_1.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=11853102;шт.;13 892,80;;
m.62;*13280191001 REHAU NEA SMART 2.0 Трансформатор;https://lk.teremopt.ru/upload/resize_cache/iblock/0e4/s4g14hv5q1ebxnutkphott7vid3ibk69/1000_750_1/RG008VH8SUMPSL_1.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=11709741;шт.;8 682,05;;
m.63;*13280351001 REHAU NEA SMART 2.0 Антенна;https://lk.teremopt.ru/upload/resize_cache/iblock/9a4/i4qag03dp4amqpd4z3k0yf6arnrqjpcj/1000_750_1/RG0090169C9PNI_1.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=11853103;шт.;6 362,15;;
m.64;*13715661005(11301111005) REHAU RAUTITAN stabil труба универсальная 40х6.0 мм, прямые отрезки 5 м из сшитого полиэтилена;https://lk.teremopt.ru/upload/resize_cache/iblock/db3/1000_750_1/RQLAGK0GBV6AP1.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12203;шт.;17 779,25;;
m.65;*137934-003 REHAU Сменный комплект M1 для трубы 16x2.2/20х2.8/25х3.5/32x4.4, тиски M1 16/20, для RAUTOOL M1 (АКЦИЯ);https://lk.teremopt.ru/upload/iblock/bba/85rhzusonow30cxll5haahhgfte44d0i/rg008m1mnfahi8.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12980697;шт.;18 713,81;;
